condition,variant,n,mean_quality_db,mean_stoi_vs_clean,mean_pesq_vs_clean,prediction_agreement_with_clean
compression_low,degraded,30,16.990026631260246,0.7947191965478982,,0.9666666666666667
compression_low,enhanced,30,24.84218795022158,0.5380803264718015,,0.6
distance_far_-12db,degraded,30,17.347484607590314,0.9999999999999486,,0.5666666666666667
distance_far_-12db,enhanced,30,25.480871221310903,0.6684694707206005,,0.5
distance_quiet_-6db,degraded,30,17.347383978200842,0.999999999999948,,0.6
distance_quiet_-6db,enhanced,30,25.526147518322198,0.6685057505440574,,0.5333333333333333
noise_snr_-5db,degraded,17,-3.1381150963560263,0.16133029217234532,,0.7058823529411765
noise_snr_-5db,enhanced,15,-0.15420366580273093,0.1588471513394261,,0.4666666666666667
noise_snr_0db,degraded,23,-0.29103953076650874,0.27224706246459296,,0.5652173913043478
noise_snr_0db,enhanced,25,3.020904889982076,0.24253778144175153,,0.48
noise_snr_10db,degraded,30,7.683170411433378,0.5405771757688168,,0.7666666666666667
noise_snr_10db,enhanced,30,14.067103188023587,0.4309856272040708,,0.6
noise_snr_5db,degraded,29,3.562699022180358,0.3961174051924595,,0.6896551724137931
noise_snr_5db,enhanced,30,7.791102741112625,0.3381155992709138,,0.5666666666666667
reverb_heavy_rt0.6,degraded,30,14.544049858979621,0.6759344028192465,,0.6666666666666666
reverb_heavy_rt0.6,enhanced,30,23.98430656642296,0.5471680916850156,,0.5666666666666667
reverb_mild_rt0.3,degraded,30,15.379997957911351,0.7235207616535043,,0.7333333333333333
reverb_mild_rt0.3,enhanced,30,24.460474711529663,0.5652775288643682,,0.5333333333333333
