condition,feature,mean_relative_drift
clean,mean_f0,0.0
compression_high,mean_f0,4.023246596102976e-06
compression_low,mean_f0,0.0009923625334475122
compression_medium,mean_f0,1.8048214571067458e-05
distance_far_-12db,mean_f0,0.0
distance_quiet_-6db,mean_f0,0.0
noise_snr_-5db,mean_f0,0.1384119074422273
noise_snr_0db,mean_f0,0.11520048531679565
noise_snr_10db,mean_f0,0.019686677942063937
noise_snr_5db,mean_f0,0.10800396869995953
reverb_heavy_rt0.6,mean_f0,0.011363249900668806
reverb_mild_rt0.3,mean_f0,0.049385697388868326
clean,std_f0,0.0
compression_high,std_f0,0.00020851792073937726
compression_low,std_f0,0.11037729512967415
compression_medium,std_f0,0.00030636309343766373
distance_far_-12db,std_f0,0.0
distance_quiet_-6db,std_f0,0.0
noise_snr_-5db,std_f0,12.507392720841334
noise_snr_0db,std_f0,10.791168200010656
noise_snr_10db,std_f0,3.5125393343423434
noise_snr_5db,std_f0,4.213045395136405
reverb_heavy_rt0.6,std_f0,0.23082225715567242
reverb_mild_rt0.3,std_f0,1.9972162688977282
clean,max_f0,0.0
compression_high,max_f0,0.0
compression_low,max_f0,0.021130515007881653
compression_medium,max_f0,0.0
distance_far_-12db,max_f0,0.0
distance_quiet_-6db,max_f0,0.0
noise_snr_-5db,max_f0,0.13220082798274388
noise_snr_0db,max_f0,0.019377563010886136
noise_snr_10db,max_f0,0.06446870862687461
noise_snr_5db,max_f0,0.09314252010374739
reverb_heavy_rt0.6,max_f0,0.006842676263848034
reverb_mild_rt0.3,max_f0,0.10207008327188616
clean,jitter,0.0
compression_high,jitter,0.00032710690065905544
compression_low,jitter,0.032289274166899015
compression_medium,jitter,0.0048093927070317335
distance_far_-12db,jitter,1.747579567752041e-05
distance_quiet_-6db,jitter,5.773466416380364e-06
noise_snr_-5db,jitter,0.6136699259272584
noise_snr_0db,jitter,1.2622026726682516
noise_snr_10db,jitter,0.20867201812020067
noise_snr_5db,jitter,0.6823214887088124
reverb_heavy_rt0.6,jitter,0.1837656970381091
reverb_mild_rt0.3,jitter,0.15298504913461722
clean,shimmer,0.0
compression_high,shimmer,0.003928661721151148
compression_low,shimmer,0.0885618252646761
compression_medium,shimmer,0.007739409454924696
distance_far_-12db,shimmer,0.0005326689159292597
distance_quiet_-6db,shimmer,0.00039106778947375003
noise_snr_-5db,shimmer,0.7102100941283537
noise_snr_0db,shimmer,0.8239945806914909
noise_snr_10db,shimmer,0.6113048834422116
noise_snr_5db,shimmer,0.8151707595154398
reverb_heavy_rt0.6,shimmer,0.25643090644435956
reverb_mild_rt0.3,shimmer,0.23669914622585425
clean,hnr,0.0
compression_high,hnr,0.00041136701345524326
compression_low,hnr,0.030397078267550885
compression_medium,hnr,0.002756241620587745
distance_far_-12db,hnr,7.351026381106236e-06
distance_quiet_-6db,hnr,4.680948805533054e-06
noise_snr_-5db,hnr,1.203351844782431
noise_snr_0db,hnr,1.024036374534166
noise_snr_10db,hnr,0.5411961779170148
noise_snr_5db,hnr,0.786742297479333
reverb_heavy_rt0.6,hnr,0.1498866182954376
reverb_mild_rt0.3,hnr,0.14086060486270113
clean,mean_rms,0.0
compression_high,mean_rms,0.0003290342312873021
compression_low,mean_rms,0.004719255195056304
compression_medium,mean_rms,0.000469351880670487
distance_far_-12db,mean_rms,0.7488075145735504
distance_quiet_-6db,mean_rms,0.4988103821127685
noise_snr_-5db,mean_rms,1.0861599859232123
noise_snr_0db,mean_rms,0.4682272142238932
noise_snr_10db,mean_rms,0.06520398133528399
noise_snr_5db,mean_rms,0.17837953031118556
reverb_heavy_rt0.6,mean_rms,0.2627763318547906
reverb_mild_rt0.3,mean_rms,0.2929688561580998
clean,std_rms,0.0
compression_high,std_rms,0.0006820740436274897
compression_low,std_rms,0.008218215532887551
compression_medium,std_rms,0.0009677348162791048
distance_far_-12db,std_rms,0.7487958544158856
distance_quiet_-6db,std_rms,0.49880343696853124
noise_snr_-5db,std_rms,0.3566155080794919
noise_snr_0db,std_rms,0.274824681953893
noise_snr_10db,std_rms,0.06451925344862214
noise_snr_5db,std_rms,0.13684955360248027
reverb_heavy_rt0.6,std_rms,0.22275164874643966
reverb_mild_rt0.3,std_rms,0.2663503828212844
clean,mean_zcr,0.0
compression_high,mean_zcr,0.0035642366490631883
compression_low,mean_zcr,0.06938849010011973
compression_medium,mean_zcr,0.011026159620765526
distance_far_-12db,mean_zcr,0.0
distance_quiet_-6db,mean_zcr,0.0
noise_snr_-5db,mean_zcr,1.5361246863631433
noise_snr_0db,mean_zcr,1.304285106729938
noise_snr_10db,mean_zcr,0.5088591927896963
noise_snr_5db,mean_zcr,0.8748788834552494
reverb_heavy_rt0.6,mean_zcr,0.07172143295651186
reverb_mild_rt0.3,mean_zcr,0.10032280055168681
clean,std_zcr,0.0
compression_high,std_zcr,0.01885256721361358
compression_low,std_zcr,0.1637494371902238
compression_medium,std_zcr,0.049757075116797764
distance_far_-12db,std_zcr,0.0
distance_quiet_-6db,std_zcr,0.0
noise_snr_-5db,std_zcr,1.177998122468698
noise_snr_0db,std_zcr,1.2995263356435187
noise_snr_10db,std_zcr,1.1604969066564779
noise_snr_5db,std_zcr,1.2476975737860625
reverb_heavy_rt0.6,std_zcr,0.1705085867248428
reverb_mild_rt0.3,std_zcr,0.23076909236450963
