condition,n,accuracy,prediction_agreement_with_clean
clean,30,1.0,1.0
noise_snr_10db,30,0.8,0.8
noise_snr_5db,28,0.6428571428571429,0.6428571428571429
noise_snr_0db,27,0.5925925925925926,0.5925925925925926
noise_snr_-5db,19,0.5789473684210527,0.5789473684210527
reverb_mild_rt0.3,30,0.6333333333333333,0.6333333333333333
reverb_heavy_rt0.6,30,0.6666666666666666,0.6666666666666666
compression_high,30,1.0,1.0
compression_medium,30,1.0,1.0
compression_low,30,0.9666666666666667,0.9666666666666667
distance_quiet_-6db,30,0.6,0.6
distance_far_-12db,30,0.5666666666666667,0.5666666666666667
